tname;tdate;ttext;tgeo
ноздри гарольда;2016-07-31 08:38:36;Почему только в 3 вуза? Почему выбрала именно спбау? — Потому что другие профессии меня не привлекают а СПбАУ- там… https://t.co/mzHmRqY25C;None
Биоинформатика;2016-07-29 09:55:29;1 октября 2016 Институт биоинформатики и СПбАУ РАН запускают онлайн-программу переподготовки по анализу данных: https://t.co/XI0IrlAXmr;None
