tname;tdate;ttext;tgeo
Татьяна Фокина;2016-07-27 19:21:40;«Лекториум» и Университет ИТМО запускают онлайн-курс по научной коммуникации https://t.co/lWlxuYCh3p;None
KudagoSPb;2016-07-27 18:20:06;Интерактивная выставка «Живой свет» в Музее оптики Университета ИТМО https://t.co/ZCmE1vTRm1;None
Надя Смирнова;2016-07-27 17:15:09;Георгий Полтавченко поздравил выпускников ИТМО с окончанием учебы;None
Наука на Чердаке;2016-07-27 16:10:08;ИТМО и «Лекториум» приготовили настоящий подарок для тех, кто мечтает стать хорошим научным журналистом: https://t.co/ADUqxCYhin;None
nast;2016-07-27 15:52:04;@drnmrtl итмо тоже хорошо;None
шакал;2016-07-27 15:37:34;@_dyingwhale итмо крестьяне((;None
Водный Бульбазавр;2016-07-27 15:18:38;Если говорить о себе: я учился в ИТМО, но ушёл — мне вуз просто не понравился.;None
Smrnv;2016-07-27 12:17:42;I'm at Университет ИТМО - @spbifmo in Санкт-Петербург https://t.co/3u8n30dT6s https://t.co/XHkMEzNNZf;None
Университет ИТМО;2016-07-27 12:06:42;Киборг-олимпиада: как пройдет первый кибатлон в России https://t.co/57eiVZ7iCZ #ИТМО;None
M@}{;2016-07-27 11:59:47;I'm at Технопарк Университета ИТМО / Technopark of ITMO University - @technoparkitmo in Санкт-Петербург https://t.co/sqHrH0PlJ3;None
Банков Никита;2016-07-27 11:47:38;скажите реально поступить в ИТМО (Санкт-Петербург) на бюджет?;None
Университет ИТМО;2016-07-27 09:55:12;Мультивитамины: в таблетках или в тарелках? Вся правда о пищевых добавках https://t.co/RXdwmUDO5H #ИТМО;None
Julia;2016-07-27 08:13:51;В ИТМО миленько https://t.co/blCsbYX90V;None
CoinFox;2016-07-27 08:12:45;Андрей Рыбин: магистранты ИТМО будут работать с Ethereum https://t.co/v69qxtVEF7 https://t.co/Plj8To9fQm;None
VlaStaChu;2016-07-27 08:04:01;RT @karlicoss: &gtРаньше учился в ИТМО, но разочаровался в университете, несмотря на то, что команда одной кафедры выигрывала чемпионаты по п…;None
Buhachu;2016-07-26 23:01:35;@tinytrack ну мои лабы/курсачи в итмо в последний день, бггг;None
CoinFox;2016-07-26 22:35:14;Андрей Рыбин: магистранты ИТМО будут работать с Ethereum  https://t.co/hb94FdxRCY https://t.co/RQnbwSb6EG;None
Бацекало Трофим;2016-07-26 19:20:28;Стоит ли поступать в СПбГУ ИТМО?;None
Alexey;2016-07-26 17:51:17;Андрей Рыбин: магистранты ИТМО будут работать с Ethereum #coinfox  https://t.co/YsPzgoICwO;None
НЕ! Никонов † ;);2016-07-26 17:00:12;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
пфф;2016-07-26 15:28:55;&gtРаньше учился в ИТМО, но разочаровался в университете, несмотря на то, что команда одной кафедры выигрывала чемпионаты по программированию;None
Тарас Жемела;2016-07-26 14:51:16;Андрей Рыбин: магистранты ИТМО будут работать с Ethereum #coinfox  https://t.co/RvaYpD5GXv;None
Jilltuck;2016-07-26 12:44:48;Как прикольно ходить по городу в итмошной футболке. Все думают, что ты из итмо, а ты нет;None
В поиске ориентиров;2016-07-26 12:15:32;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
Fontankadom;2016-07-26 12:07:18;RT @spbifmo: Как уехать на семестр в один из лучших вузов Европы и остаться там на два года https://t.co/3G2GkAP3cA #ИТМО;None
Университет ИТМО;2016-07-26 12:03:17;Как уехать на семестр в один из лучших вузов Европы и остаться там на два года https://t.co/3G2GkAP3cA #ИТМО;None
it-mobile;2016-07-26 11:44:03;Университет ИТМО вошел в десятку лучших исследовательских вузов России https://t.co/9irwsGN7GQ;None
Дмитрий Крупенин;2016-07-26 11:08:02;Университет ИТМО вошел в десятку лучших исследовательских вузов России https://t.co/gEaUzNlBuc;None
Всеволод Ивкин;2016-07-26 11:06:36;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
Аполлон Редькин;2016-07-26 11:06:35;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
Андрей Лукашонок;2016-07-26 11:06:34;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
Керил;2016-07-26 10:36:56;В ИТМО стоят 2 здоровенных покебола (yo have a cancer b0ss) и все стены в джейке псе. Если пойду забирать доки для Сафу то сфоткаю;None
Терентий Дорошаев;2016-07-26 10:06:11;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
Университет ИТМО;2016-07-26 09:47:25;Как изучить тонкую структуру со сверхвысоким разрешением https://t.co/HY2HCaulQ4 #ИТМО;None
Андрей К;2016-07-26 09:03:12;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
Аврора Корноусова;2016-07-26 09:03:06;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
M@}{;2016-07-26 08:48:07;Заселился. (@ Студенческий городок Университета ИТМО in Санкт-Петербург) https://t.co/tFDAerNVX9;None
Sasha Borsch;2016-07-26 08:09:53;Поймай всех и переводись из ИТМО. Студент из Петербурга стал лучшим охотником на покемонов в мире https://t.co/a1OUgsalzb;None
M@}{;2016-07-26 07:28:25;И тут покемоны, аааа. Они поставили на проходной покетболлы, ну или как они называются. Это я про итмо.;None
Николай Мушкет;2016-07-26 01:48:02;Университет ИТМО вошел в десятку лучших исследовательских вузов России https://t.co/ICKCJjxxKF;None
НЕ! Никонов † ;);2016-07-26 01:15:29;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
Клава Харитончюк;2016-07-26 00:51:08;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
Антонина Кремнева;2016-07-26 00:51:08;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
Мирон Иринин;2016-07-25 23:48:37;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
Зоя Монастырская;2016-07-25 23:40:03;Университет ИТМО вошел в десятку лучших исследовательских вузов России https://t.co/s0rIv7eSSY;None
Маричка Хортенко;2016-07-25 22:47:08;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
Бармин Герман;2016-07-25 22:41:27;реально ли поступить на бюджет в ИТМО;None
Зоя Монастырская;2016-07-25 22:32:03;Университет ИТМО вошел в десятку лучших исследовательских вузов России https://t.co/5dbJwL2sSr;None
Володя Хайкин;2016-07-25 21:45:07;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
Юлия Акулич;2016-07-25 20:42:08;Университет ИТМО вошел в десятку лучших исследовательских вузов России;None
