tname;tdate;ttext;tgeo
Константин Лесик;2016-07-31 12:45:09;Математики СПбГУ создали для гуманитариев программу исследования любых текстов https://t.co/GyecB9dwzu https://t.co/h8xNyzHSYd;None
Новости в мире;2016-07-31 11:07:56;Молодые математики СПбГУ создали программу, позволяющую установить подлинность и авторство текстов, написанных на любых языках. Она поможет…;None
Выгода ВКонтакте;2016-07-31 10:35:07;"Памятник Гулливеру". Фотограф: Elodi. Памятник. Гулливер. Двор Филфака Спбгу. Санкт-Петербург. https://t.co/3UhzrEo1lo;None
pixelated tears;2016-07-31 10:32:01;хотя в спбгу на конкретные направления востоковедения опять же идет конкурс, и самое норм получают люди с 280+;None
Настюхен;2016-07-31 10:25:24;Со мной в метро познакомился двадцатилетний студент физфака СПбГУ........;None
pixelated tears;2016-07-31 10:22:50;mah face when мне сейчас звонили из спбгу с истфака;None
Иван Евдокимов;2016-07-31 10:20:11;В СПбГУ создали программу для исследования текстов на любом языке #взаимныйфолловинг;None
МОСЮРГАРАНТ;2016-07-31 10:19:12;Молодые математики СПбГУ создали программу, которая позволяет установить подлинность и авторство текстов,… https://t.co/eXQLSliE2z;None
Только новости;2016-07-31 10:17:35;В Петербурге создали программу идентификации текстов на любых языках: Молодые математики СПбГУ создали программу, которая позволяет…;None
Александр Литвиненко;2016-07-31 09:56:50;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
СанСаныч;2016-07-31 09:51:18;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
Tatiana Popova;2016-07-31 09:37:45;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
Вячеслав Жабин;2016-07-31 09:25:19;В СПбГУ создали программу для исследования текстов на любом языке #AutoFollowBack;None
Тата  Зима;2016-07-31 09:14:42;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
Shalunov Fedia;2016-07-31 08:57:06;В СПбГУ создали программу для исследования текстов на любом языке: Математиками Санкт-Петербургского… https://t.co/DleMDOe8Bb;None
Oleg Evseev;2016-07-31 08:56:53;В СПбГУ создали программу для исследования текстов на любом языке;None
Легкая Невыносимость;2016-07-31 08:55:58;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
Адольф;2016-07-31 08:55:08;В СПбГУ создали программу для исследования текстов на любом языке;None
саня;2016-07-31 08:55:08;В СПбГУ создали программу для исследования текстов на любом языке;None
kinovam;2016-07-31 08:55:08;В СПбГУ создали программу для исследования текстов на любом языке;None
Ивона;2016-07-31 08:55:08;В СПбГУ создали программу для исследования текстов на любом языке;None
Альберта;2016-07-31 08:55:08;В СПбГУ создали программу для исследования текстов на любом языке;None
Карина Ландо;2016-07-31 08:55:08;В СПбГУ создали программу для исследования текстов на любом языке;None
Кира Неревнова;2016-07-31 08:55:08;В СПбГУ создали программу для исследования текстов на любом языке;None
Марина Федосеева;2016-07-31 08:55:08;В СПбГУ создали программу для исследования текстов на любом языке;None
Настя Кочеткова;2016-07-31 08:55:08;В СПбГУ создали программу для исследования текстов на любом языке;None
Иринка Якушева;2016-07-31 08:55:08;#ru_ff #ff_ru В СПбГУ создали программу для исследования текстов на любом языке  #новости;None
margo5678;2016-07-31 08:55:08;В СПбГУ создали программу для исследования текстов на любом языке;None
Антон Иванов;2016-07-31 08:55:08;В СПбГУ создали программу для исследования текстов на любом языке;None
Пашок Яров;2016-07-31 08:55:07;В СПбГУ создали программу для исследования текстов на любом языке;None
Елена Петрова;2016-07-31 08:55:07;#fyseo_ru #наука В СПбГУ создали программу для исследования текстов на любом языке  #взаимный #читаю #ru;None
Взаимно Читаю Всех;2016-07-31 08:55:07;В СПбГУ создали программу для исследования текстов на любом языке  #взаимныйфолловинг;None
Никита;2016-07-31 08:55:07;В СПбГУ создали программу для исследования текстов на любом языке  https://t.co/TWaK7wtNh6;None
Коровка;2016-07-31 08:55:07;В СПбГУ создали программу для исследования текстов на любом языке  ...;None
Надя Максимова;2016-07-31 08:55:07;В СПбГУ создали программу для исследования текстов на любом языке;None
Jaki;2016-07-31 08:55:07;В СПбГУ создали программу для исследования текстов на любом языке;None
Владимир;2016-07-31 08:55:07;В СПбГУ создали программу для исследования текстов на любом языке;None
Сергей Корнеев;2016-07-31 08:54:38;В СПбГУ создали программу для исследования текстов на любом языке https://t.co/UJjJ3vZLgb;None
Кира Смирнова;2016-07-31 08:53:34;#973 В СПбГУ создали программу для исследования текстов на любом языке #lv;None
Žatecký Kozel;2016-07-31 08:48:15;🆕 #Наука #Космос В СПбГУ создали программу для исследования текстов на любом языке https://t.co/ZeIY1V0Pcc;None
Seroga;2016-07-31 08:46:32;В СПбГУ создали программу для исследования текстов на любом языке https://t.co/dF2M9pn63J;None
Сковпень Василий;2016-07-31 08:42:07;В СПбГУ создали программу для исследования текстов на любом языке;None
Pøly;2016-07-31 08:37:01;RT @verdammmt: мое утро сделал факт, что в списках подавших документы в спбгу есть абитуриентка с фамилией отченаш  ОТЧЕНАШ СУКА;None
syttifemte;2016-07-31 08:33:50;Смотрю сайт СПбГУ. Радуюсь за Викулю, которая уже зачислена БВИ, и переживаю за Настю @skrount, потому что очень хочу, чтобы она прошла.;None
tiffanis;2016-07-31 08:31:08;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
Vyacheslav;2016-07-31 08:22:31;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
Аналитика;2016-07-31 08:09:13;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
ФанПромо;2016-07-31 07:57:04;Школа иностранных языков, СПбГУ,  - https://t.co/G450QpVDau тел: (812) 326-49-72 #фанпромо https://t.co/GQvQxv9eaF;None
Kim Diland;2016-07-31 07:54:26;В СПбГУ создали программу для исследования текстов на любом языке;None
Я (18+);2016-07-31 07:54:06;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
Liudmila;2016-07-31 07:49:58;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
Gotfrid;2016-07-31 07:47:24;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
Антон Макогон;2016-07-31 07:32:03;В СПбГУ создали программу для исследования текстов на любом языке https://t.co/wehjA6oeQ0;None
Белая Надя;2016-07-31 07:26:56;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
Олег Иванов;2016-07-31 07:05:17;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
Svalehouse;2016-07-31 06:58:59;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
Azamat Gallyamov;2016-07-31 06:58:57;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
Антон Лопатин;2016-07-31 06:54:02;https://t.co/bwsJyQAmdi #ifollowall количество поданных заявлений спбгу;None
Антон Макогон;2016-07-31 06:44:02;В СПбГУ создали программу для исследования текстов на любом языке https://t.co/BkZLxDkhb9;None
Alex;2016-07-31 06:43:37;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
Ольга Мирчу;2016-07-31 06:42:07;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
Vladimir Khlebnikov;2016-07-31 06:31:10;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
#Освіта #Навчання;2016-07-31 06:25:32;#Наука: Математики СПбГУ разработали уникальную методику исследования текстов на любых яз... https://t.co/XYaTnOI3Xu #интересно;None
#Science News #Наука;2016-07-31 06:25:31;#Наука: Математики СПбГУ разработали уникальную методику исследования текстов на любых яз... https://t.co/gZCcg8JBUF #интересно;None
Oleg Bovi;2016-07-31 06:15:38;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
Новые коммунисты;2016-07-31 06:15:09;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
Elena В®;2016-07-31 06:14:39;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
БедаревВалерий;2016-07-31 06:12:18;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
Кротков Олег;2016-07-31 06:11:54;RT @Dissernet: Шохин Николай Николаевич, доктор экономических наук из СПбГУ @spb_university  https://t.co/s1Y1OAnWSA https://t.co/nBNlcSCnpl;None
