tdate;ttext;tgeo
2016-07-25 13:56:40;#ИТМО вошел в десятку лучших исследовательских вузов России https://t.co/wGlNn0aGYI;None
2016-07-25 11:28:55;Нет, ИТМО, оригиналы я вам не принесу https://t.co/accPMwrbqA;None
2016-07-25 11:04:22;#ИТМО и "Лекториум" открыли регистрацию на первый в России онлайн-курс по научной коммуникации https://t.co/cWFItnYEvP;None
2016-07-25 10:17:35;По идее я прохожу во все уники куда подала заявления в итмо только надо приоритет поменять;None
2016-07-25 09:57:45;скажите реально поступить в ИТМО (Санкт-Петербург) на бюджет?;None
2016-07-25 09:44:05;Переписал согласие на зачисление в ИТМО на второй приоритет, эх;None
2016-07-25 09:17:00;В центре для одаренных детей «Сириус» завершилась первая проектная смена. Репортаж #ИТМО с места событий: https://t.co/KonmaBIEg7;None
2016-07-25 08:11:32;Доброе утро, #ИТМО!;None
2016-07-24 12:55:50;QS BRICS: Университет ИТМО становится более международным;None
2016-07-24 10:46:59;@nekosch в ИТМО тоже не было звонков.;None
2016-07-24 10:35:06;скажите реально поступить в ИТМО (Санкт-Петербург) на бюджет?;None
2016-07-24 10:14:59;если кто в ИТМО поступал по олимпиадам расскажите реально сдать илит без мазы тягаться?;None
2016-07-24 09:34:00;QS BRICS: Университет ИТМО становится более международным   https://t.co/2z7EV2C9T9;None
2016-07-24 09:27:01;QS BRICS: Университет ИТМО становится более международным:  https://t.co/iBa717WdZ0;None
2016-07-24 09:21:04;QS BRICS: Университет ИТМО становится более международным:  https://t.co/ORsas74r0p;None
2016-07-24 09:17:37;RT @openeduRU: Курсы Университета ИТМО @spbifmo на Национальной платформе: https://t.co/AzxCxXBa3b. https://t.co/1wm7qeAeQ2;None
2016-07-24 09:05:41;Есть кто-нибудь кто учился в ИТМО или учится там?;None
2016-07-24 08:36:04;Есть кто-нибудь кто учился в ИТМО или учится там?;None
2016-07-24 07:14:43;Есть кто-нибудь кто учился в ИТМО или учится там?;None
2016-07-23 20:00:04;RT @spbifmo: Известный патентный тролль - Джером Лемельсон. 700 крупнейших компаний купили у него право на использование его патентов #ИТМО;None
2016-07-23 15:52:01;Известный патентный тролль - Джером Лемельсон. 700 крупнейших компаний купили у него право на использование его патентов #ИТМО;None
2016-07-23 15:51:36;Кто такие патентные тролли? Лица, которые имеют интеллектуальную собственность, но не реализуют ее в качестве разработок #ИТМО;None
2016-07-23 15:51:16;Чем лучше вы умеете использовать информацию, тем больше у вас шансов быть сильнее конкурентов #ИТМО;None
2016-07-23 15:50:32;Реально ли управлять информацией? Ведь она неосязаема, неисчерпаема, ее можно неограниченно распространять. #ИТМО;None
2016-07-23 15:27:23;Начинается лекция Нины Яныкиной, которая расскажет о том, как управлять интеллектуальным капиталом. #ИТМО;None
2016-07-23 13:24:28;Тот волшебный момент, когда ты ловишь попутку и тебя подвозит полиция! 🚔🚨💨 (@ УСОЦ "Ягодное" Университета ИТМО) https://t.co/uDvrZQUfe3;60.63044081,29.99367963
2016-07-23 12:57:18;Учёные из Астонского университета и Университета ИТМО разработали уникальный оптический микрорезонатор: Профе... https://t.co/lx3uHVr1MJ;None
2016-07-23 12:46:22;RT @spbifmo: Немного о бизнес-ангелах в России. Инвестор рассуждает так: сколько денег в этом году я могу красиво потерять #ИТМО;None
2016-07-23 11:49:33;RT @chrdk_ru: Ученый из ИТМО предложил новый метод изготовления оптических резонаторов: https://t.co/nmxkOYBn72;None
2016-07-23 11:15:32;RT @chrdk_ru: Ученый из ИТМО предложил новый метод изготовления оптических резонаторов: https://t.co/nmxkOYBn72;None
2016-07-23 11:00:14;Ученый из ИТМО предложил новый метод изготовления оптических резонаторов: https://t.co/nmxkOYBn72;None
2016-07-23 10:55:21;Magic Leap - продукта нет, но стоимость компании 1.4 долларов.  #ИТМО;None
2016-07-23 10:45:41;@ghtxht в итмо не поступила и все? страх потеряла?;None
2016-07-23 10:43:58;В Европе зарождение стартап-культуры традиционно происходит вокруг корпораций. #ИТМО;None
2016-07-23 10:35:43;Немного о бизнес-ангелах в России. Инвестор рассуждает так: сколько денег в этом году я могу красиво потерять #ИТМО;None
2016-07-23 10:30:53;Сейчас ситуация изменилась - большинство технологий создаётся в корпорациях. #ИТМО;None
2016-07-23 10:28:15;Почему был взлёт стартап культуры на рубеже веков? Новизна! В то время было действительно много новых технологий. #ИТМО;None
2016-07-23 10:26:45;Надо понимать, что стартап это масштабированный бизнес. #ИТМО;None
2016-07-23 10:25:37;Почему инновации не ведут нас вперед с большей скоростью? Некуда инвестировать. #ИТМО;None
2016-07-23 10:24:40;Нельзя создать бизнес и не совершенствовать его. Всегда нужно помнить о конкурентах. И именно с инновациями у нас все не так хорошо. #ИТМО;None
2016-07-23 10:23:21;Мертва ли стартап-культура? Спикер:  Константин Карчмарский. Подключайтесь к нашей трансляции! #ИТМО;None
2016-07-23 09:59:33;Как IT-бренды влияют на лояльность? Что все-таки лучше: Google или Yandex? Подключайте к нашей трансляции на YouTube! #ИТМО;None
2016-07-23 09:54:01;#покемоны в #итмо https://t.co/5JiPkPww1O;None
2016-07-23 09:43:37;Сам Windows был рад этому решению. Все-таки неловко, когда по телевизору показывают, насколько твой браузер медленный. #ИТМО;None
2016-07-23 09:40:00;А все потому что в 2009 году Еврокомиссия обязала Windows предоставлять выбор браузера #ИТМО;None
2016-07-23 09:38:55;На самом деле войны операционных систем нет и не будет. Другое дело браузеры: неожиданно Chrome и Firefox вырвались вперед. #ИТМО;None
2016-07-23 09:32:14;Немного о конкуренции на рынке. Есть ли возможность у других компаний выйти на рынок операционных систем? #ИТМО https://t.co/zx3k5lw9bW;None
2016-07-23 09:29:55;Internet Explorer встроен в систему Windows. В мире всего 1% пользователей этого браузера, они готовы пользоваться им по умолчанию #ИТМО;None
2016-07-23 09:26:29;Почему мы выбираем тот или иной продукт: использовали раньше, рекомендация друзей, реклама, встроено в систему гаджета. #ИТМО;None
2016-07-23 09:23:13;Как IT-бренды влияют на лояльность? Что все-таки лучше: Google или Yandex? Подключайте к нашей трансляции на YouTube! #ИТМО;None
2016-07-23 09:20:06;Интерактивная выставка «Живой свет» в Музее оптики Университета ИТМО https://t.co/ZCmE1vTRm1;None
2016-07-23 09:05:10;Через пару минут июльский Открытый университет откроет лекция Лидии Перовской! #ИТМО https://t.co/4aa74zllIa;None
2016-07-23 08:45:17;Кто знает, куда нужно поступать в ИТМО, чтобы потом жить в нормальной общаге?)) Или как вообще организоваться... https://t.co/RsnY0y7l8z;None
2016-07-23 08:42:41;скажите реально поступить в ИТМО (Санкт-Петербург) на бюджет?;None
2016-07-22 22:23:48;Есть кто-нибудь кто учился в ИТМО или учится там?;None
2016-07-22 18:55:32;Ученые научились создавать микрорезонаторы с рекордной точностью https://t.co/sUgoI5etrP #ИТМО;None
2016-07-22 17:03:09;Счастливый номер приказа о зачислении🎉🎉🎉 #приказ #1111 #итмо #зачислена🔥 #универЖдиВСентябре #бюджет #стипендия💰 https://t.co/d3BBNynVEg;None
