tdate;ttext;tgeo
2016-07-26 02:57:49;RT @A_G_Dugin: Физики из МФТИ и РКЦ «утрамбовали» квантовый компьютер  Ученые из России придумали способ ис https://t.co/gTu4RZvqzD https:/…;None
2016-07-25 23:25:27;Безумно не хочу, чтобы лето заканчивалось, и на физтех тоже совсем не хочу, но по своим мальчикам соскучилась. 578❤️❤️❤️;None
2016-07-25 22:02:21;Сегодня на физтех приезжала группа Россия-1. Если бы на стройках не спиздили миллионы, то завтра за этими деньгами приехали бы солдаты НАТО;None
2016-07-25 18:54:24;Народ! Как вы относитесь к МФТИ?;None
2016-07-25 18:49:44;@da_nazarov то есть человек, который нихуя не делал и затащил экзамены не поступит? Физтех уже не тот;None
2016-07-25 18:19:49;Русская Сила | Физики из МФТИ и РКЦ «утрамбовали» квантовый компьютер https://t.co/sQe4cia3kg;None
2016-07-25 17:22:05;#Жуковский Московский физико-технический институт и французский ISAE-SUPAERO – один из старейших… https://t.co/Ywpp9E3tqJ :;None
2016-07-25 17:11:22;Впервые на Пикнике «Афиши» @afishapicnic! Научная зона от МФТИ и НИТУ МИСиС @misisRu.  https://t.co/bX7rVYGlVW https://t.co/vT5pXHnHuX;None
2016-07-25 16:59:29;RT @A_G_Dugin: Физики из МФТИ и РКЦ «утрамбовали» квантовый компьютер  Ученые из России придумали способ ис https://t.co/gTu4RZvqzD https:/…;None
2016-07-25 16:42:14;RT @mathOO7tutor: #Решение #задач вступительного #задания #МФТИ #Помощь преподавателя #Физтеха онлайн #ФИЗИКА #Репетитора #ЕГЭ в сдаче http…;None
2016-07-25 16:39:24;RT @maths_helper: Как #быстро #решать #задания тестов #SHL #Анализ #числовой информации https://t.co/a4YLPRrNfg с помощью #репетитора МФТИ…;None
2016-07-25 16:28:01;Такс Завязываю с истфаком перехожу в физтех!;None
2016-07-25 16:23:15;RT @Phystech: Юрию Александровичу Самарскому, профессору кафедры общей физики МФТИ — 80!  https://t.co/PmrrwNkW97 https://t.co/J6kOLoAmGC;None
2016-07-25 16:17:56;Физтех вселяет в меня веру в науку. Ты приезжаешь, общаешься с умными людьми и понимаешь что сейчас ты полностью погружен в физику.;None
2016-07-25 16:07:24;RT @Phystech: Юрию Александровичу Самарскому, профессору кафедры общей физики МФТИ — 80!  https://t.co/PmrrwNkW97 https://t.co/J6kOLoAmGC;None
2016-07-25 16:04:15;RT @A_G_Dugin: Физики из МФТИ и РКЦ «утрамбовали» квантовый компьютер  Ученые из России придумали способ ис https://t.co/gTu4RZvqzD https:/…;None
2016-07-25 16:01:11;Юрию Александровичу Самарскому, профессору кафедры общей физики МФТИ — 80!  https://t.co/PmrrwNkW97 https://t.co/J6kOLoAmGC;None
2016-07-25 15:19:46;RT @allscience_news: МГУ, МИФИ и МФТИ возглавили рейтинг исследовательской деятельности университетов:  МГУ, МИФИ и МФТИ возглавил... https…;None
2016-07-25 15:13:08;RT: МГУ, МИФИ и МФТИ возглавили рейтинг исследовательской деятельности университетов:  МГУ, МИФИ и МФТИ возглавил.… https://t.co/ICtHLrtCFo;None
2016-07-25 15:09:16;RT: МГУ, МИФИ и МФТИ возглавили рейтинг исследовательской деятельности университетов:  МГУ, МИФИ и МФТИ возглавил.… https://t.co/pWUOjRez8V;None
2016-07-25 14:55:59;МГУ, МИФИ и МФТИ возглавили рейтинг исследовательской деятельности университетов:  МГУ, МИФИ и МФТИ возглавил... https://t.co/NEYyoEMiln;None
2016-07-25 14:55:58;МГУ, МИФИ и МФТИ возглавили рейтинг исследовательской деятельности университетов:  МГУ, МИФИ и МФТИ возглавил... https://t.co/2t8ltb0gpl;None
2016-07-25 14:11:12;МГУ, НИЯУ МИФИ и МФТИ возглавили рейтинг исследовательской деятельности университетов России https://t.co/X3YTKKlbP6;None
2016-07-25 14:00:39;RT @interfax_news: МГУ, МИФИ и МФТИ возглавили рейтинг исследовательской деятельности университетов https://t.co/lkzKKllrda;None
2016-07-25 13:46:12;RT @interfax_news: МГУ, МИФИ и МФТИ возглавили рейтинг исследовательской деятельности университетов https://t.co/lkzKKllrda;None
2016-07-25 13:37:51;МГУ, МИФИ и МФТИ стали лидерами рейтинга исследовательской деятельности… https://t.co/z1EJRAgb8R #Тамбов #Кирсанов;None
2016-07-25 13:13:37;RT @mathOO7tutor: Уравнения, содержащие #модуль Как #решать #задачи вариационного #исчисления с #неизвестными #параметрами? #Дифференциальн…;None
2016-07-25 13:13:34;RT @mathOO7tutor: #vk КАК Я СДАЛ #ЕГЭ НА 100 БАЛЛОВ https://t.co/t14jSjTY7X #корни кубического #уравнения #онлайн ОГЭ #репетиторы МФТИ http…;None
2016-07-25 13:08:51;RT @maths_helper: #Прикольные #картинки! #Классная #помощь #репетитора #МФТИ #репетиторы #Москва #математика #английский язык #english http…;None
2016-07-25 13:05:05;RT @A_G_Dugin: Физики из МФТИ и РКЦ «утрамбовали» квантовый компьютер  Ученые из России придумали способ ис https://t.co/gTu4RZvqzD https:/…;None
2016-07-25 12:59:05;RT @A_G_Dugin: Физики из МФТИ и РКЦ «утрамбовали» квантовый компьютер  Ученые из России придумали способ ис https://t.co/gTu4RZvqzD https:/…;None
2016-07-25 12:56:31;RT @badrimg: МГУ, МИФИ и МФТИ стали лидерами рейтинга исследовательской деятельности университетов https://t.co/VHLmP1uTPP;None
2016-07-25 12:46:24;МГУ, МИФИ и МФТИ стали лидерами рейтинга исследовательской деятельности университетов: Три московских вуза – ... https://t.co/pxJgKWKdbE;None
2016-07-25 12:46:22;МГУ, МИФИ и МФТИ стали лидерами рейтинга исследовательской деятельности университетов: Три московских вуза – ... https://t.co/ITqahEdFid;None
2016-07-25 12:46:22;МГУ, МИФИ и МФТИ стали лидерами рейтинга исследовательской деятельности университетов: Три московских вуза – ... https://t.co/3iVVWV3MWE;None
2016-07-25 12:36:41;RT @A_G_Dugin: Физики из МФТИ и РКЦ «утрамбовали» квантовый компьютер  Ученые из России придумали способ ис https://t.co/gTu4RZvqzD https:/…;None
2016-07-25 12:32:24;RT @interfax_news: МГУ, МИФИ и МФТИ возглавили рейтинг исследовательской деятельности университетов https://t.co/lkzKKllrda;None
2016-07-25 12:31:26;МГУ, МИФИ и МФТИ стали лидерами рейтинга исследовательской деятельности университетов https://t.co/VHLmP1uTPP;None
2016-07-25 12:23:09;RT @A_G_Dugin: Физики из МФТИ и РКЦ «утрамбовали» квантовый компьютер  Ученые из России придумали способ ис https://t.co/gTu4RZvqzD https:/…;None
2016-07-25 12:12:27;RT @A_G_Dugin: Физики из МФТИ и РКЦ «утрамбовали» квантовый компьютер  Ученые из России придумали способ ис https://t.co/gTu4RZvqzD https:/…;None
2016-07-25 12:08:55;RT @A_G_Dugin: Физики из МФТИ и РКЦ «утрамбовали» квантовый компьютер  Ученые из России придумали способ ис https://t.co/gTu4RZvqzD https:/…;None
2016-07-25 12:04:38;RT @A_G_Dugin: Физики из МФТИ и РКЦ «утрамбовали» квантовый компьютер  Ученые из России придумали способ ис https://t.co/gTu4RZvqzD https:/…;None
2016-07-25 12:03:31;Физики из МФТИ и РКЦ «утрамбовали» квантовый компьютер  Ученые из России придумали способ ис https://t.co/gTu4RZvqzD https://t.co/WL3je2X4lW;None
2016-07-25 11:10:51;В саду “Эрмитаж” проходит цикл лекций от студентов, аспирантов, преподавателей МФТИ и их друзей… https://t.co/wV8Hdi2RCM;55.77065951,37.6090836
2016-07-25 10:51:37;Сложно ли поступить в МФТИ и МГТУ Баумана?;None
2016-07-25 10:21:10;RT @interfax_news: МГУ, МИФИ и МФТИ возглавили рейтинг исследовательской деятельности университетов https://t.co/lkzKKllrda;None
2016-07-25 10:14:04;МГУ, МИФИ и МФТИ возглавили рейтинг исследовательской деятельности университетов - https://t.co/pSXEW57Qc5;None
2016-07-25 10:13:48;@quick_spinch Так это обычная практика. Мою брали и в политех питерский и в универ бонч-бруевчива там же. Только в МФТИ не взяли :);None
2016-07-25 10:07:29;@quick_spinch Будешь  смеяться, но даже в МФТИ выпускников школ берут без экзаменов, по результатам ЕГЭ.;None
2016-07-25 09:59:11;RT @interfax_news: МГУ, МИФИ и МФТИ возглавили рейтинг исследовательской деятельности университетов https://t.co/lkzKKllrda;None
2016-07-25 09:55:16;RT @interfax_news: МГУ, МИФИ и МФТИ возглавили рейтинг исследовательской деятельности университетов https://t.co/lkzKKllrda;None
2016-07-25 09:50:47;RT @interfax_news: МГУ, МИФИ и МФТИ возглавили рейтинг исследовательской деятельности университетов https://t.co/lkzKKllrda;None
2016-07-25 09:46:55;МГУ, МИФИ и МФТИ возглавили рейтинг исследовательской деятельности университетов - https://t.co/gtc7eQ3FH8;None
2016-07-25 09:46:39;RT @interfax_news: МГУ, МИФИ и МФТИ возглавили рейтинг исследовательской деятельности университетов https://t.co/lkzKKllrda;None
2016-07-25 09:35:08;МГУ, МИФИ и МФТИ возглавили рейтинг исследовательской деятельности университетов https://t.co/lkzKKllrda;None
2016-07-25 09:29:36;МГУ, МИФИ и МФТИ возглавили рейтинг исследовательской деятельности университетов: Международная информационная группа "Интерфакс…;None
2016-07-25 09:16:11;МГУ, МИФИ и МФТИ возглавили рейтинг исследовательской деятельности университетов;None
2016-07-25 09:11:21;Щука, «Физтех и физтехи», 2010, с;None
2016-07-25 09:11:12;МГУ, МИФИ и МФТИ возглавили рейтинг исследовательской деятельности университетов https://t.co/r8UlOZkcbx https://t.co/BNqVDQQobd;None
2016-07-25 07:46:25;Физики из МФТИ и РКЦ «утрамбовали» квантовый компьютер | Блог Владимир | КОНТ https://t.co/FAlMPcXfPW Непонятно, но, наверно, здорово!;None
2016-07-25 07:31:18;Исследователи из Московского физико-технического института (МФТИ) и Российского квантового центра нашли способ «утрамбовать» несколько…;None
2016-07-25 02:22:03;RT @rodebobs84: Новые возможности в образовании: в МФТИ выдадут диплом гособразца после онлайн-обучения;None
2016-07-25 01:42:02;RT @rodebobs84: Новые возможности в образовании: в МФТИ выдадут диплом гособразца после онлайн-обучения;None
2016-07-25 01:40:00;мфти #my  #pretty  #all_shots;None
2016-07-25 01:00:03;RT @rodebobs84: Новые возможности в образовании: в МФТИ выдадут диплом гособразца после онлайн-обучения;None
2016-07-24 22:55:09;что выбрать:МФТи, МГУ, МИФИ или бауманку?;None
2016-07-24 20:56:36;Никогда бы не подумала, что парни с бритой грудью, в рубашках с глубокими вырезами и прочими метросексуальными фишками студенты мфти;None
2016-07-24 20:24:03;RT @rodebobs84: Новые возможности в образовании: в МФТИ выдадут диплом гособразца после онлайн-обучения;None
2016-07-24 20:03:55;@PRIS0NEER в ньютонах брат (физики шутят, настя вылезла из квн мфти);None
2016-07-24 20:02:03;RT @rodebobs84: Новые возможности в образовании: в МФТИ выдадут диплом гособразца после онлайн-обучения;None
2016-07-24 16:30:09;RT @mathOO7tutor: Что такое #дифференциал #производная #Математика #ЕГЭ https://t.co/FJXfEuEFz7 #репетиторы #МФТИ #репетитор про физический…;None
2016-07-24 16:07:13;RT @mathOO7tutor: Что такое #дифференциал #производная #Математика #ЕГЭ https://t.co/FJXfEuEFz7 #репетиторы #МФТИ #репетитор про физический…;None
2016-07-24 16:04:54;Российские учёные нашли способ упростить создание квантового компьютера: Исследователи из Московского физико-технического института (МФТИ…;None
2016-07-24 15:27:59;Исследователи из Московского физико-технического института (МФТИ) и Российского квантового центра нашли способ «утрамбовать» несколько…;None
2016-07-24 13:00:44;RT @mathOO7tutor: Что такое #дифференциал #производная #Математика #ЕГЭ https://t.co/FJXfEuEFz7 #репетиторы #МФТИ #репетитор про физический…;None
2016-07-24 12:53:19;Что такое #дифференциал #производная #Математика #ЕГЭ https://t.co/FJXfEuEFz7 #репетиторы #МФТИ #репетитор про физический #смысл производной;None
